X,Y,lagoslakeid,gnis_name,min,max,LakeArea,label
-95.643575,45.515894,62,Lake Emily,16,19,6.81888795358525,<b>Lake Emily</b><br>Lake Area = 6.8 ha<br>Observed Chloride = 16-19 mg/L
-91.608448,47.763349,63,August Lake,0.85,1.26,4.32656376731753,<b>August Lake</b><br>Lake Area = 4.3 ha<br>Observed Chloride = 0.85-1.26 mg/L
-93.48463,44.08664,64,Clear Lake,51,63.8,5.54347404138692,<b>Clear Lake</b><br>Lake Area = 5.5 ha<br>Observed Chloride = 51-63.8 mg/L
-93.90442,45.30344,67,Ida Lake,9.8,11,4.49726443396254,<b>Ida Lake</b><br>Lake Area = 4.5 ha<br>Observed Chloride = 9.8-11 mg/L
-93.832742,44.790222,72,Winkler Lake,40.3333333333333,63.3333333333333,3.44069406122038,<b>Winkler Lake</b><br>Lake Area = 3.4 ha<br>Observed Chloride = 40.33-63.33 mg/L
-93.0604,44.08554,74,Rice Lake,12.3,17.2,5.50834730911686,<b>Rice Lake</b><br>Lake Area = 5.5 ha<br>Observed Chloride = 12.3-17.2 mg/L
-93.741682,44.785811,75,Miller Lake,35,38,4.02481174642002,<b>Miller Lake</b><br>Lake Area = 4 ha<br>Observed Chloride = 35-38 mg/L
-90.777703,47.632507,78,Oberg Lake,0.3,0.3,1.61492388015792,<b>Oberg Lake</b><br>Lake Area = 1.6 ha<br>Observed Chloride = 0.3-0.3 mg/L
-93.85411,45.19825,79,Lake Pulaski,9.4,29.4,5.67444669087752,<b>Lake Pulaski</b><br>Lake Area = 5.7 ha<br>Observed Chloride = 9.4-29.4 mg/L
-92.123364,46.877427,83,Mud Lake,2.39,2.39,2.53924614504098,<b>Mud Lake</b><br>Lake Area = 2.5 ha<br>Observed Chloride = 2.39-2.39 mg/L
-92.56971,44.96916,87,,43.4,110,3.18974192434314,<b>NA</b><br>Lake Area = 3.2 ha<br>Observed Chloride = 43.4-110 mg/L
-91.095875,47.521976,90,Cramer Lake,0.259,0.759,3.79503688487555,<b>Cramer Lake</b><br>Lake Area = 3.8 ha<br>Observed Chloride = 0.26-0.76 mg/L
-91.789906,48.039485,93,Sandpit Lake,0.22,0.22,3.17569775865621,<b>Sandpit Lake</b><br>Lake Area = 3.2 ha<br>Observed Chloride = 0.22-0.22 mg/L
-94.747023,43.734081,94,Big Twin Lake,18.1,35,5.11935342006658,<b>Big Twin Lake</b><br>Lake Area = 5.1 ha<br>Observed Chloride = 18.1-35 mg/L
-95.79358,45.52193,95,Page Lake,41,41,4.97258514889424,<b>Page Lake</b><br>Lake Area = 5 ha<br>Observed Chloride = 41-41 mg/L
-72.50682,43.34607,97,North Springfield Reservoir,11.8,11.8,3.66373240078101,<b>North Springfield Reservoir</b><br>Lake Area = 3.7 ha<br>Observed Chloride = 11.8-11.8 mg/L
-91.087896,47.600694,101,Bonanza Lake,0.23,0.23,3.17547066643432,<b>Bonanza Lake</b><br>Lake Area = 3.2 ha<br>Observed Chloride = 0.23-0.23 mg/L
-96.170047,44.39084,103,Lake Stay,9.19,13.2,4.44549731262762,<b>Lake Stay</b><br>Lake Area = 4.4 ha<br>Observed Chloride = 9.19-13.2 mg/L
-94.908048,45.069953,110,,22.7,33.2,6.09926642476493,<b>NA</b><br>Lake Area = 6.1 ha<br>Observed Chloride = 22.7-33.2 mg/L
-92.892558,46.312867,111,Fox Lake,1.73,2.76,4.31979902718401,<b>Fox Lake</b><br>Lake Area = 4.3 ha<br>Observed Chloride = 1.73-2.76 mg/L
-92.638442,44.610307,113,Wildcat Lake,20,25,1.98576078629223,<b>Wildcat Lake</b><br>Lake Area = 2 ha<br>Observed Chloride = 20-25 mg/L
-92.016596,47.746797,114,Cold Lake,0.22,0.22,1.67304394725391,<b>Cold Lake</b><br>Lake Area = 1.7 ha<br>Observed Chloride = 0.22-0.22 mg/L
-91.962093,47.04597,121,,0.2,0.2,2.32267729894651,<b>NA</b><br>Lake Area = 2.3 ha<br>Observed Chloride = 0.2-0.2 mg/L
-92.57936,44.96655,126,Twin Lakes,41.1,69.7,3.68575833849595,<b>Twin Lakes</b><br>Lake Area = 3.7 ha<br>Observed Chloride = 41.1-69.7 mg/L
-92.065856,46.952194,127,Eagle Lake,2.84,2.84,3.82759469062272,<b>Eagle Lake</b><br>Lake Area = 3.8 ha<br>Observed Chloride = 2.84-2.84 mg/L
-95.86379,45.70336,128,Pomme de Terre Lakes,7.3,13.1,5.65103057315867,<b>Pomme de Terre Lakes</b><br>Lake Area = 5.7 ha<br>Observed Chloride = 7.3-13.1 mg/L
-94.71032,45.33524,131,Lake Koronis,15,15,7.08257123912353,<b>Lake Koronis</b><br>Lake Area = 7.1 ha<br>Observed Chloride = 15-15 mg/L
-72.93068,43.31479,132,Big Mud Pond,0.11,1.18,2.00117887379503,<b>Big Mud Pond</b><br>Lake Area = 2 ha<br>Observed Chloride = 0.11-1.18 mg/L
-73.1806,42.81189,133,South Stream Pond,5.09,6.02,2.32227987133748,<b>South Stream Pond</b><br>Lake Area = 2.3 ha<br>Observed Chloride = 5.09-6.02 mg/L
-93.337503,44.959014,134,Twin Lakes,8,15,1.61146448574651,<b>Twin Lakes</b><br>Lake Area = 1.6 ha<br>Observed Chloride = 8-15 mg/L
-73.03272,43.05257,135,Beebe Pond,0.24,0.24,1.42635918906187,<b>Beebe Pond</b><br>Lake Area = 1.4 ha<br>Observed Chloride = 0.24-0.24 mg/L
-93.079486,44.86205,139,Dickman Lake,49,58.36,2.24668456093605,<b>Dickman Lake</b><br>Lake Area = 2.2 ha<br>Observed Chloride = 49-58.36 mg/L
-94.480967,43.561229,141,Willmert Lake,14.6,26,4.86265907742266,<b>Willmert Lake</b><br>Lake Area = 4.9 ha<br>Observed Chloride = 14.6-26 mg/L
-93.549079,47.648644,146,,0.485,0.485,2.71127575806228,<b>NA</b><br>Lake Area = 2.7 ha<br>Observed Chloride = 0.48-0.48 mg/L
-72.60143,44.75554,147,,0.18,0.66,2.03323436996132,<b>NA</b><br>Lake Area = 2 ha<br>Observed Chloride = 0.18-0.66 mg/L
-94.64775,43.97355,156,Saint James Lake,30.6,77,4.36064236223621,<b>Saint James Lake</b><br>Lake Area = 4.4 ha<br>Observed Chloride = 30.6-77 mg/L
-93.95487,45.05768,160,Carrigan Lake,170,190,3.98257037472374,<b>Carrigan Lake</b><br>Lake Area = 4 ha<br>Observed Chloride = 170-190 mg/L
-93.707677,44.949828,163,Long Lake,3.5,63,2.98801676491933,<b>Long Lake</b><br>Lake Area = 3 ha<br>Observed Chloride = 3.5-63 mg/L
-93.310462,47.864295,164,Crum Lake,0.174,0.315,1.98949636867985,<b>Crum Lake</b><br>Lake Area = 2 ha<br>Observed Chloride = 0.17-0.32 mg/L
-95.583271,47.027489,165,Waboose Lake,1.45,1.81,4.5414907260451,<b>Waboose Lake</b><br>Lake Area = 4.5 ha<br>Observed Chloride = 1.45-1.81 mg/L
-94.23493,45.934418,166,Skunk Lake,8.4,8.4,5.62717963891686,<b>Skunk Lake</b><br>Lake Area = 5.6 ha<br>Observed Chloride = 8.4-8.4 mg/L
-92.340675,46.815791,167,Horseshoe Lake,0.81,0.81,2.10469863102079,<b>Horseshoe Lake</b><br>Lake Area = 2.1 ha<br>Observed Chloride = 0.81-0.81 mg/L
-93.595444,46.982519,168,,3.2,5.19,3.77058376978276,<b>NA</b><br>Lake Area = 3.8 ha<br>Observed Chloride = 3.2-5.19 mg/L
-92.200928,48.042949,169,Bootleg Lake,0.405,0.405,4.92911606217487,<b>Bootleg Lake</b><br>Lake Area = 4.9 ha<br>Observed Chloride = 0.4-0.4 mg/L
-71.84381,44.91011,170,Unknown Pond,0.11,0.41,1.94540444978242,<b>Unknown Pond</b><br>Lake Area = 1.9 ha<br>Observed Chloride = 0.11-0.41 mg/L
-93.600559,47.266745,172,Forsythe Lake,0.67,1.075,3.26348710967121,<b>Forsythe Lake</b><br>Lake Area = 3.3 ha<br>Observed Chloride = 0.67-1.07 mg/L
-93.269152,44.90023,173,Diamond Lake,7.5,1181.5,3.01260943663385,<b>Diamond Lake</b><br>Lake Area = 3 ha<br>Observed Chloride = 7.5-1181.5 mg/L
-93.472881,43.507783,176,State Line Lake,12.5,15.9,5.24870523610687,<b>State Line Lake</b><br>Lake Area = 5.2 ha<br>Observed Chloride = 12.5-15.9 mg/L
-93.343988,44.414672,179,Circle Lake,9.9,15,5.81668974082149,<b>Circle Lake</b><br>Lake Area = 5.8 ha<br>Observed Chloride = 9.9-15 mg/L
-92.669815,44.634568,180,Nelson Lake,15,16,3.08700762482892,<b>Nelson Lake</b><br>Lake Area = 3.1 ha<br>Observed Chloride = 15-16 mg/L
-72.84479,42.81538,181,Ryder Pond,21.3,21.3,1.71766377905019,<b>Ryder Pond</b><br>Lake Area = 1.7 ha<br>Observed Chloride = 21.3-21.3 mg/L
-91.074097,47.555677,184,Paccini Lake,0.14,0.14,2.16398512584911,<b>Paccini Lake</b><br>Lake Area = 2.2 ha<br>Observed Chloride = 0.14-0.14 mg/L
-93.520251,45.000328,188,Mooney Lake,22,53.8,3.79817925332101,<b>Mooney Lake</b><br>Lake Area = 3.8 ha<br>Observed Chloride = 22-53.8 mg/L
-92.649169,44.615018,189,Goose Lake,20,27,4.18868794573856,<b>Goose Lake</b><br>Lake Area = 4.2 ha<br>Observed Chloride = 20-27 mg/L
-93.561972,44.961156,191,Tanager Lake,46.05,69.7,3.03194547540641,<b>Tanager Lake</b><br>Lake Area = 3 ha<br>Observed Chloride = 46.05-69.7 mg/L
-92.423096,46.052263,192,Rock Lake,1.1,1.1,3.44367218554019,<b>Rock Lake</b><br>Lake Area = 3.4 ha<br>Observed Chloride = 1.1-1.1 mg/L
-72.7037,43.05827,193,,5.94,5.94,3.36518601969425,<b>NA</b><br>Lake Area = 3.4 ha<br>Observed Chloride = 5.94-5.94 mg/L
-72.95928,43.3038,194,Griffith Lake,0.24,0.86,1.84492354594393,<b>Griffith Lake</b><br>Lake Area = 1.8 ha<br>Observed Chloride = 0.24-0.86 mg/L
-72.78249,43.12572,195,Ball Mountain Reservoir,4.4,4.4,2.10567223910374,<b>Ball Mountain Reservoir</b><br>Lake Area = 2.1 ha<br>Observed Chloride = 4.4-4.4 mg/L
-95.164408,45.83723,196,Clifford Lake,20,183,4.19655234829677,<b>Clifford Lake</b><br>Lake Area = 4.2 ha<br>Observed Chloride = 20-183 mg/L
-93.24383,45.075715,197,,62.3666666666667,137.5,2.37076330927287,<b>NA</b><br>Lake Area = 2.4 ha<br>Observed Chloride = 62.37-137.5 mg/L
-71.92021,44.71328,198,Center Pond,2,2,3.49338420401138,<b>Center Pond</b><br>Lake Area = 3.5 ha<br>Observed Chloride = 2-2 mg/L
-72.91644,42.91806,205,Haystack Pond,0.31,0.79,2.43070474352218,<b>Haystack Pond</b><br>Lake Area = 2.4 ha<br>Observed Chloride = 0.31-0.79 mg/L
-91.026523,47.596326,206,Morris Lake,0.48,0.48,2.02621196693712,<b>Morris Lake</b><br>Lake Area = 2 ha<br>Observed Chloride = 0.48-0.48 mg/L
-90.610315,47.778818,207,Turtle Lake,0.08,0.08,3.18565271513666,<b>Turtle Lake</b><br>Lake Area = 3.2 ha<br>Observed Chloride = 0.08-0.08 mg/L
-72.91136,43.73083,209,Chittenden Reservoir,2,2,5.71286080826854,<b>Chittenden Reservoir</b><br>Lake Area = 5.7 ha<br>Observed Chloride = 2-2 mg/L
-90.456481,47.862158,210,Olso Lake,0.13,0.13,2.59686615712706,<b>Olso Lake</b><br>Lake Area = 2.6 ha<br>Observed Chloride = 0.13-0.13 mg/L
-91.747363,47.921984,213,Garden Lake,1.2,1.2,5.55000255636617,<b>Garden Lake</b><br>Lake Area = 5.6 ha<br>Observed Chloride = 1.2-1.2 mg/L
-92.346185,46.825563,216,,0.635,0.635,1.85917306166563,<b>NA</b><br>Lake Area = 1.9 ha<br>Observed Chloride = 0.64-0.64 mg/L
-89.845327,47.95105,217,Speckled Trout Lake,0.21,0.24,3.25550621217622,<b>Speckled Trout Lake</b><br>Lake Area = 3.3 ha<br>Observed Chloride = 0.21-0.24 mg/L
-93.426508,45.238475,221,Grass Lake,26.1,42.4,2.63960428358009,<b>Grass Lake</b><br>Lake Area = 2.6 ha<br>Observed Chloride = 26.1-42.4 mg/L
-96.02175,45.33608,222,Lake Oliver,34,34,4.87631273143639,<b>Lake Oliver</b><br>Lake Area = 4.9 ha<br>Observed Chloride = 34-34 mg/L
-91.632041,47.51998,223,Greenwood Lake,0.644,1.14,6.2800235466343,<b>Greenwood Lake</b><br>Lake Area = 6.3 ha<br>Observed Chloride = 0.64-1.14 mg/L
-72.8787,42.75519,225,North Pond,2.48,2.48,2.35365456233464,<b>North Pond</b><br>Lake Area = 2.4 ha<br>Observed Chloride = 2.48-2.48 mg/L
-93.494352,47.539168,226,Moon Lake,0.293333333333333,0.293333333333333,2.37767678056963,<b>Moon Lake</b><br>Lake Area = 2.4 ha<br>Observed Chloride = 0.29-0.29 mg/L
-90.769571,47.651213,229,Bradley Lake,0.18,0.18,1.39436129176506,<b>Bradley Lake</b><br>Lake Area = 1.4 ha<br>Observed Chloride = 0.18-0.18 mg/L
-90.72274,44.29009,230,,1.6,2,4.02591581730012,<b>NA</b><br>Lake Area = 4 ha<br>Observed Chloride = 1.6-2 mg/L
-92.47997,45.18441,232,Oak Ridge Lake,7.2,7.2,4.16092069352139,<b>Oak Ridge Lake</b><br>Lake Area = 4.2 ha<br>Observed Chloride = 7.2-7.2 mg/L
-72.96581,43.69353,235,Burr Pond,7.44,8.68,2.0813582037091,<b>Burr Pond</b><br>Lake Area = 2.1 ha<br>Observed Chloride = 7.44-8.68 mg/L
-93.151951,45.075574,236,Karth Lake,69.2,69.2,1.94120124842173,<b>Karth Lake</b><br>Lake Area = 1.9 ha<br>Observed Chloride = 69.2-69.2 mg/L
-91.344408,47.285138,237,Bear Lake,0.37,0.5,2.8587890988429,<b>Bear Lake</b><br>Lake Area = 2.9 ha<br>Observed Chloride = 0.37-0.5 mg/L
