SITEID_07,SITEID_12,UID,VISIT_NO,SAMPLE_CATEGORY,SITE_TYPE,LON_DD,LAT_DD,DATE_COL,LAKE_NAME,STATE,WGT_NLA,WSA_ECO9,OMER_L3_ECO,OMER_L3_ECO_NAME,LAKE_ORIGIN,AREA_HA,PERIM_KM,ELEVATION,DEPTHMAX,DATEWQ,SAMPLE_DEPTH_M,PH,COND_US,ANC_UEQL,TURB_NTU,TOC_MGL,DOC_MGL,AMMONIA_N_MGL,NITRATE_NITRITE_N_MGL,TN_MGL,TP_UGL,CHLORIDE_MGL,NITRATE_N_MGL,SULFATE_MGL,CALCIUM_MGL,MAGNESIUM_MGL,SODIUM_MGL,POTASSIUM_MGL,COLOR_PCU,SILICA_MGL,CHLA_UGL,TSS_MGL,NITRITE_N_MGL,ALUMINUM_MGL,wq_source,chla_source,DATEPROFILE,DEPTH_M.mean,DEPTH_M.min,DEPTH_M.max,DEPTH_M.obs,TEMP_C.mean,TEMP_C.min,TEMP_C.max,TEMP_C.obs,DO_MGL.mean,DO_MGL.min,DO_MGL.max,DO_MGL.obs,PH.mean,PH.min,PH.max,PH.obs,COND_US.mean,COND_US.min,COND_US.max,COND_US.obs,profile_source,DATE_SECCHI,SECCHI_M,SECCHI_RE_M,CLEAR_TO_BOTTOM,secchi_source,DATEPHYTO,PHYTO_BIOVOL_UM3L.sum,PHYTO_BIOVOL_UM3L.obs,PHYTO_ABUND_CL.sum,PHYTO_ABUND_CL.obs,PHYTO_ABUND_OL.sum,PHYTO_ABUND_OL.obs,phyto_source,DATEZOOP,ZOO_FINE_50um_ABUND_L.sum,ZOO_FINE_50um_ABUND_L.obs,ZOO_FINE_50um_BIOMASS_UGL.sum,ZOO_FINE_50um_BIOMASS_UGL.obs,ZOO_FINE_80um_ABUND_L.sum,ZOO_FINE_80um_ABUND_L.obs,ZOO_FINE_80um_BIOMASS_UGL.sum,ZOO_FINE_80um_BIOMASS_UGL.obs,ZOO_COARSE_150um_ABUND_L.sum,ZOO_COARSE_150um_ABUND_L.obs,ZOO_COARSE_150um_BIOMASS_UGL.sum,ZOO_COARSE_150um_BIOMASS_UGL.obs,ZOO_COARSE_243um_ABUND_L.sum,ZOO_COARSE_243um_ABUND_L.obs,ZOO_COARSE_243um_BIOMASS_UGL.sum,ZOO_COARSE_243um_BIOMASS_UGL.obs,zoo_source,PCT_OPENH20_BSN,PCT_ICESNOW_BSN,PCT_WATER_BSN,PCT_DEVOPEN_BSN,PCT_DEVLOW_BSN,PCT_DEVMED_BSN,PCT_DEVHIGH_BSN,PCT_DEVELOPED_BSN,PCT_BARREN_BSN,PCT_DECID_BSN,PCT_CONIF_BSN,PCT_MIXED_BSN,PCT_FOREST_BSN,PCT_SHRUBLAND_BSN,PCT_GRASS_BSN,PCT_PASTURE_BSN,PCT_CROPS_BSN,PCT_AGRIC_BSN,PCT_WDYWET_BSN,PCT_EMHERBWET_BSN,PCT_WETLAND_BSN,DISTANCE_BUFR,PCT_OPENH20_BUFR,PCT_ICESNOW_BUFR,PCT_WATER_BUFR,PCT_DEVOPEN_BUFR,PCT_DEVLOW_BUFR,PCT_DEVMED_BUFR,PCT_DEVHIGH_BUFR,PCT_DEVELOPED_BUFR,PCT_BARREN_BUFR,PCT_DECID_BUFR,PCT_CONIF_BUFR,PCT_MIXED_BUFR,PCT_FOREST_BUFR,PCT_SHRUBLAND_BUFR,PCT_GRASS_BUFR,PCT_PASTURE_BUFR,PCT_CROPS_BUFR,PCT_AGRIC_BUFR,PCT_WDYWET_BUFR,PCT_EMHERBWET_BUFR,PCT_WETLAND_BUFR,Residence_Time
NLA06608-0001,NA,NA,1,P,PROB_Lake,-114.0218399,48.97902855,7/31/07,Lake Wurdeman,Montana,7.59453197,WMT,41,Canadian Rockies,NATURAL,66.2930555,3.178509805,1605.73,8.3,7/31/07,2,7.63,96.28,924.3,0.474,0.37,0.63,0.01,0.12,0.151,6,0.05,0.131,2.226,13.93,2.944,0.252,0.131,6,1.182,0.24,NA,NA,NA,NLA2007_WaterQuality_20091123.csv,NLA2007_WaterQuality_20091123.csv,7/31/07,4,0,8,9,14.97777778,10.2,16.3,9,8.855555556,8.2,11,9,8.233333333,8.1,8.4,9,150.5555556,143,153,9,NLA2007_Profile_20091008.csv,7/31/07,6.4,NA,,NLA2007_Secchi_20091008.csv,7/31/07,111197.2634,16,237171.0887,20,NA,NA,NLA2007_Phytoplankton_SoftAlgaeCount_20091023.csv,7/31/07,NA,NA,NA,NA,1.93178056,1,NA,NA,NA,NA,NA,NA,0.96589028,1,NA,NA,NLA2007_Zooplankton_Count_20091022.csv,16.8,14.7,31.5,0,0,0,0,0,19.1,0.1,40,1.8,41.9,7.5,0.1,0,0,0,0,0,0,0.001798644,50.8,0.8,51.6,0,0,0,0,0,2.6,0.5,34.5,0.1,35.1,10.8,0,0,0,0,0,0,0,0.765228544
NLA06608-0002,NLA12_SC-102,7927,1,NA,PROB,-79.984084,33.03614283,8/14/12,Crane Pond,South Carolina,205.2016728,CPL,63,NA,MAN_MADE,14.70694315,1.7464941,4.9,NA,8/14/12,NA,6.26,42.3,152.7,1.47,NA,14.09,0.0087,0.003,0.779,44,5.482,0.003,0.593,3.598,0.775,2.947,0.19,73,7.176,36.24,NA,0,0.021,nla2012_waterchem_wide.csv,nla2012_chla_wide.csv,8/14/12,1.014285714,0,2.1,7,24.48571429,20.2,28.5,7,1.742857143,0.4,3.7,7,5.228571429,5.1,5.5,7,79.14285714,46,125,7,nla2012_wide_profile_08232016.csv,8/14/12,0.45,0.4,,nla2012_secchi_08232016.csv,8/14/12,25633474773,36,NA,NA,4220.0984,19,nla2012_phytoplankton_wide_count_02122014.csv,8/14/12,114640,27,71581,27,9451,13,5531,13,10583,9,24812,9,2697,3,9725,3,nla2012_zoopcnt_04032014.csv,0,0,0,1,0,0,0,1,0,0,59.9,0,59.9,1.6,4.5,0.3,0,0.3,28.9,3.9,32.8,0.001798644,0,0,0,0,0,0,0,0,0,0,31.1,0,31.1,0.7,5.3,0,0,0,47.8,15.1,62.9,0.262114479
NLA06608-0002,NA,NA,1,P,PROB_Lake,-79.98379054,33.03606404,6/14/07,Crane Pond,South Carolina,60.65422715,CPL,63,Middle Atlantic Coastal Plain,MAN-MADE,14.43799807,1.743509934,4.9,2.3,6/14/07,1.1,6.05,44.8,104.48,3.55,15.9,14.02,0.019,0.005,0.695,36,6.311,0.005,0.818,3.414,0.775,2.526,0.152,71,1.695,3.84,NA,NA,NA,NLA2007_WaterQuality_20091123.csv,NLA2007_WaterQuality_20091123.csv,6/14/07,0.98,0,1.9,5,22.218,17.2,29.19,5,NA,NA,NA,0,5.52,5.3,5.7,5,62.14,46.7,76.8,5,NLA2007_Profile_20091008.csv,6/14/07,0.55,NA,,NLA2007_Secchi_20091008.csv,6/14/07,798011.4329,16,11622683.29,25,NA,NA,NLA2007_Phytoplankton_SoftAlgaeCount_20091023.csv,6/14/07,NA,NA,NA,NA,235.9113836,6,NA,NA,NA,NA,NA,NA,113.0091628,5,NA,NA,NLA2007_Zooplankton_Count_20091022.csv,0,0,0,1,0,0,0,1,0,0,59.9,0,59.9,1.6,4.5,0.3,0,0.3,28.9,3.9,32.8,0.001798644,0,0,0,0,0,0,0,0,0,0,31.1,0,31.1,0.7,5.3,0,0,0,47.8,15.1,62.9,0.262114479
NLA06608-0003,NA,NA,1,P,PROB_Lake,-97.85986605,28.04774206,8/29/07,Wilderness Lake,Texas,210.5049403,CPL,34,Western Gulf Coastal Plain,NATURAL,5.701736559,1.265008306,17.6,2.5,8/29/07,1.4,8.47,1089,4746.01,7.67,6.75,6,0.005,0.005,0.738,43,173.337,0.005,49.455,51.55,9.513,164.9,5.778,18,45.248,16.96,NA,NA,NA,NLA2007_WaterQuality_20091123.csv,NLA2007_WaterQuality_20091123.csv,8/29/07,1,0,2,5,29.96,29.4,30.6,5,6.8,4,8.3,5,8.28,8,8.4,5,1131.6,1120,1144,5,NLA2007_Profile_20091008.csv,8/29/07,0.71,NA,,NLA2007_Secchi_20091008.csv,8/29/07,21078202.42,11,44827936.51,21,NA,NA,NLA2007_Phytoplankton_SoftAlgaeCount_20091023.csv,8/29/07,NA,NA,NA,NA,1943.7576,11,NA,NA,NA,NA,NA,NA,7.533944186,1,NA,NA,NLA2007_Zooplankton_Count_20091022.csv,1.4,0,1.4,8.1,3.1,0.1,0,11.3,0.5,9.2,1,0.1,10.3,27.1,4.9,11.6,32.5,44.1,0.2,0.2,0.4,0.001798644,13.9,0,13.9,4.1,1.8,0,0,5.9,0,40.2,14.2,1.3,55.7,23.5,0,0,0,0,0,1,1,0.171630807
NLA06608-0004,NA,NA,1,P,PROB_Lake,-108.4045832,37.41662013,7/10/07,Puett Reservoir,Colorado,9.171940265,WMT,21,Southern Rockies,MAN-MADE,65.38630923,6.011153731,2213,6.3,7/10/07,2,8.25,303.3,1656.42,3.81,9.09,8,0.024,0.005,0.344,18,1.802,0.005,60.253,34.03,8.557,11.1,1.472,13,2.763,4.6,NA,NA,NA,NLA2007_WaterQuality_20091123.csv,NLA2007_WaterQuality_20091123.csv,7/10/07,2.957142857,0,5.7,7,20.24285714,19,20.6,7,5.814285714,2.2,6.7,7,8.257142857,7.8,8.4,7,296,296,296,7,NLA2007_Profile_20091008.csv,7/10/07,1.8,NA,,NLA2007_Secchi_20091008.csv,7/10/07,185827.5822,14,1085927.475,26,NA,NA,NLA2007_Phytoplankton_SoftAlgaeCount_20091023.csv,7/10/07,NA,NA,NA,NA,91834.81439,5,NA,NA,NA,NA,NA,NA,11.89570135,3,NA,NA,NLA2007_Zooplankton_Count_20091022.csv,7.7,0,7.7,0.4,0,0,0,0.4,0,3.4,33.6,0,37,50.1,1.1,1.4,0.3,1.7,1.7,0.1,1.8,0.001798644,21.9,0,21.9,0,0,0,0,0,0,0.3,19,0,19.3,53,0.8,2.2,0,2.2,2.4,0.4,2.8,1.048253143
NLA06608-0004,NLA12_CO-105,8325,1,NA,PROB,-108.4056506,37.4167824,8/30/12,Puett Reservoir,Colorado,33.9172379,WMT,21,NA,MAN_MADE,65.38610038,6.011170144,2213,NA,8/30/12,NA,9.42,246,1401,34.47,NA,9.66,0.015,0.002,1.079,114,1.843,0.002,51.456,26.57,8.261,12.99,1.66,18,7.243,101.3,NA,0,0.079,nla2012_waterchem_wide.csv,nla2012_chla_wide.csv,8/30/12,1.822222222,0,3.9,9,20.20909091,19.6,20.6,11,4.65,1.7,7.5,8,9.436363636,9.1,9.7,11,254.0909091,253,256,11,nla2012_wide_profile_08232016.csv,8/30/12,0.315,0.3,,nla2012_secchi_08232016.csv,8/30/12,31796254290,10,NA,NA,24696.2501,5,nla2012_phytoplankton_wide_count_02122014.csv,8/30/12,104639,12,52772,12,88150,17,21941,17,38718,4,43820,4,37514,8,59620,8,nla2012_zoopcnt_04032014.csv,7.7,0,7.7,0.4,0,0,0,0.4,0,3.4,33.6,0,37,50.1,1.1,1.4,0.3,1.7,1.7,0.1,1.8,0.001798644,21.9,0,21.9,0,0,0,0,0,0,0.3,19,0,19.3,53,0.8,2.2,0,2.2,2.4,0.4,2.8,1.048253143
NLA06608-0005,NA,NA,1,P,PROB_Lake,-114.8403862,43.92920926,7/18/07,Perkins Lake,Idaho,15.02738514,WMT,16,Idaho Batholith,NATURAL,19.48761255,1.962187216,2138,6.1,7/18/07,2,7.75,52.62,420.91,0.475,1.79,1.45,0.005,0.005,0.085,4,0.262,0.005,2.775,8.072,0.311,1.21,0.247,7,6.166,1.205,NA,NA,NA,NLA2007_WaterQuality_20091123.csv,NLA2007_WaterQuality_20091123.csv,7/18/07,2.942857143,0,5.6,7,20.04285714,19.9,20.1,7,7.862857143,7.65,8.19,7,7.758571429,7.51,8.1,7,40.3,40.1,40.8,7,NLA2007_Profile_20091008.csv,7/18/07,NA,NA,Y,NLA2007_Secchi_20091008.csv,7/18/07,267935.1334,15,536325.2033,27,NA,NA,NLA2007_Phytoplankton_SoftAlgaeCount_20091023.csv,7/18/07,NA,NA,NA,NA,106.361565,5,NA,NA,NA,NA,NA,NA,453.5138951,5,NA,NA,NLA2007_Zooplankton_Count_20091022.csv,4.5,0.9,5.4,0,0,0,0,0,0.6,0,46.6,0,46.6,11.6,33.6,0,0,0,1.4,0.8,2.2,0.001798644,32.4,0,32.4,0,0,0,0,0,0,0,35.8,0,35.8,12,7.2,0,0,0,12.5,0,12.5,0.47919492
NLA06608-0006,NA,NA,1,P,PROB_Lake,-73.1465177,41.68314624,7/17/07,Morris Reservoir,Connecticut,19.57749882,NAP,59,Northeastern Coastal Zone,MAN-MADE,56.19974819,5.836994717,198.75,25.3,7/17/07,2,7.06,74.74,291.48,0.901,3.49,3.16,0.016,0.005,0.184,7,7.318,0.005,6.894,5.063,2.561,4.155,1.19,2,2.482,4.08,NA,NA,NA,NLA2007_WaterQuality_20091123.csv,NLA2007_WaterQuality_20091123.csv,7/17/07,12,0,24,25,10.9148,5.46,25.3,25,7.3656,1.83,9.55,25,6.912,6.5,8.15,25,74.92,72,87,25,NLA2007_Profile_20091008.csv,7/17/07,3.21,NA,,NLA2007_Secchi_20091008.csv,7/17/07,721946.9369,10,1916199.027,18,NA,NA,NLA2007_Phytoplankton_SoftAlgaeCount_20091023.csv,7/17/07,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NLA2007_Zooplankton_Count_20091022.csv,5.1,0,5.1,5.3,0.7,0,0,6,0,64.4,3.2,0.7,68.3,0.6,0,17.6,1,18.6,1.2,0.1,1.3,0.001798644,37.2,0,37.2,2.5,0.4,0,0,2.9,0,37.8,15.7,0.5,54,0.8,0,5.1,0,5.1,0,0,0,0.159612691
NLA06608-0006,NLA12_CT-103,7800,1,NA,PROB,-73.14469782,41.67757315,8/9/12,Morris Reservoir,Connecticut,11.34216716,NAP,59,NA,MAN_MADE,56.19967245,5.83700507,198.75,NA,8/9/12,NA,7.6,110.8,446.1,0.67,NA,2.53,0.0067,0,0.205,19,14.912,0,6.646,7.288,2.598,8.589,1.524,18,5.061,2.324,NA,0,0.005,nla2012_waterchem_wide.csv,nla2012_chla_wide.csv,8/9/12,11.04,0,23,25,12.936,6.5,27.5,25,6.096,1,8.8,25,6.452,5,7.9,25,105.36,102,118,25,nla2012_wide_profile_08232016.csv,8/9/12,4.65,4.65,,nla2012_secchi_08232016.csv,8/9/12,713804511.1,39,NA,NA,478.5682,22,nla2012_phytoplankton_wide_count_02122014.csv,8/9/12,143319,17,53674,17,56319,21,16011,21,29583,10,71823,10,9691,11,36278,11,nla2012_zoopcnt_04032014.csv,5.1,0,5.1,5.3,0.7,0,0,6,0,64.4,3.2,0.7,68.3,0.6,0,17.6,1,18.6,1.2,0.1,1.3,0.001798644,37.2,0,37.2,2.5,0.4,0,0,2.9,0,37.8,15.7,0.5,54,0.8,0,5.1,0,5.1,0,0,0,0.159612691
NLA06608-0007,NA,NA,1,P,PROB_Lake,-92.04001797,45.58064546,7/24/07,Spring Lake,Wisconsin,159.855637,UMW,51,North Central Hardwood Forests,NATURAL,25.4747633,3.02298601,390.86,19.2,7/24/07,2,6.07,26.65,96.04,1.05,6.99,6.68,0.013,0.005,0.493,8,1.45,0.005,3.786,1.537,0.704,0.606,1.489,10,0.091,2.432,NA,NA,NA,NLA2007_WaterQuality_20091123.csv,NLA2007_WaterQuality_20091123.csv,7/24/07,9.475,0,18.5,20,11.145,4.8,26.7,20,5.913,0.71,8.3,20,6.078,5.62,7.15,20,30.98,22.8,39.4,20,NLA2007_Profile_20091008.csv,7/24/07,3.15,NA,,NLA2007_Secchi_20091008.csv,7/24/07,781219.1223,17,4500152.585,23,NA,NA,NLA2007_Phytoplankton_SoftAlgaeCount_20091023.csv,7/24/07,NA,NA,NA,NA,729.2857972,13,NA,NA,NA,NA,NA,NA,357.0990413,11,NA,NA,NLA2007_Zooplankton_Count_20091022.csv,9.3,0,9.3,3.3,0,0,0,3.3,0,54.6,9.2,0,63.8,0.1,1,8,2.3,10.3,1.6,10.7,12.3,0.001798644,25.3,0,25.3,5.6,0,0,0,5.6,0,24.7,28.1,0,52.8,0,0.6,11.9,0.7,12.6,0,3.1,3.1,5.817869225
