2007_SiteID,SITE_ID,VISIT_NO,UID,DATE_COL,AGGR_ECO3_2015,AGGR_ECO9_2015,AREA_HA,AREACLS,BORD_LAKE,CAT_UNIQUE,CH0712_CAT,CH0712_USE,CH0712_WGT,CNTYNAME,COMID2007,COMID2012,COMIDS2007,DES_FTYPE,DSGN12,ELEVATION,EPA_REG,EVAL_NAME,EVALSTAT,FEOW_ID,FS_EW,FW_ECO3,FW_ECO9,GNIS_ID,GNIS_NAME,HUC2,HUC8,LAKE_ORIGIN,LAKE_ORIGIN12,LAT_DD83,LON_DD83,MAJ_BASIN,MDCATY,MISS_BASIN,NA_L1CODE,NA_L2CODE,NA_L3CODE,NARS_NAME,NES_LAKE,NESLAKE_ID,NESSTORET,OWN_TYPE,OWNSHP,PANEL,PERIM_KM,RCHCODE,RT_NLA12,SITESAMP,SITETYPE,SIZE_CLASS,ST_DSGN,ST_MDCATY,ST_PANEL,ST_SITEID,ST_STRATUM,ST_WGT_ALL,ST_WGT_CAT,ST_WGT_DSGN,STATE,STATE_NLA,STATE_PCNT,STATECTY,STATUS,STATUS_ST,STRATUM,TNT,TNT_ST,URBAN,US_L3CODE,US_L3CODE_2015,US_L4CODE,US_L4CODE_2015,WGT_ALL,WGT_CAT,WGT_DSGN,XCOORD,YCOORD,ECO_BIO,IM_COMMENT,2012_Chloride,2007_Chloride,chloride_Difference
NLA06608-0002,NLA12_SC-102,1,7927,8/14/2012 0:00,PLNLOW,CPL,14.70694315,C:10-50,No,NLA07RVT,NLA07_RVT12,Include,205.2016728,BERKELEY,9642039,9642039,9642039,Lake/Pond: Hydrographic Category = Perennial,Included,4.9,Region_4,Crane Pond,TargetSampleable,157,,PLNLOW,CPL,1229604,Crane Pond,3,3050201,MAN_MADE,MAN_MADE,33.03614283,-79.984084,3,NonREF07,No,8,8.5,8.5.1,Crane Pond,,,,Non Federal,Non-Federal,NLA07RVT,1.7464941,3.05E+12,R,Y,PROB,"(10,20]",,,,NLA12_SC-102,SC_NLA07RVT,0,,0,SC,SC,100,45015,Target_Sampled,,SC_NLA07RVT,Target,,Yes,63,63,63h,63h,205.2016728,SC_>4,2,1479675.468,-374477.9732,CPL,,5.482,6.311,-0.829
NLA06608-0004,NLA12_CO-105,1,8325,8/30/2012 0:00,WMTNS,WMT,65.38610038,D:50-100,No,NLA07RVT,NLA07_RVT12,Include,33.9172379,MONTEZUMA,3262179,3262179,3262179,Lake/Pond: Hydrographic Category = Perennial,Included,2213,Region_8,Puett Reservoir,TargetSampleable,130,,WMTNS,WMT,178814,Puett Reservoir,14,14080202,MAN_MADE,RESERVOIR,37.4167824,-108.4056506,14,NonREF07,No,6,6.2,6.2.14,Puett Reservoir,,,,Non Federal,Non-Federal,NLA07RVT,6.011170144,1.41E+13,T,Y,PROB,>50,,,,NLA12_CO-105,CO_NLA07RVT,0,,0,CO,CO,100,8083,Target_Sampled,,CO_NLA07RVT,Target,,Yes,21,21,21f,21f,33.9172379,CO_>4,2.1,-1084506.176,61560.42969,WMTNS,"TNT, EVALSTAT changed (missing)",1.843,1.802,0.041
NLA06608-0006,NLA12_CT-103,1,7800,8/9/2012 0:00,EHIGH,NAP,56.19967245,D:50-100,No,NLA07RVT,NLA07_RVT12,Include,11.34216716,LITCHFIELD,7711476,7711476,7711476,Lake/Pond: Hydrographic Category = Perennial,Included,198.75,Region_1,Morris Reservoir,TargetSampleable,118,,EHIGH,NAP,209057,Morris Reservoir,1,1100005,MAN_MADE,RESERVOIR,41.67757315,-73.14469782,1,REF07,No,8,8.1,8.1.7,Morris Reservoir,,,,Non Federal,Non-Federal,NLA07RVT,5.83700507,1.10E+12,S,Y,PROB,>50,,,,NLA12_CT-103,CT_NLA07RVT,0,,0,CT,CT,100,9005,Target_Sampled,,CT_NLA07RVT,Target,,Yes,59,59,59c,59c,11.34216716,CT_>4,1,1870739.499,694097.2645,EHIGH,,14.912,7.318,7.594
NLA06608-0010,NLA12_MI-117,1,1000091,7/24/2012 0:00,PLNLOW,UMW,30.03726716,C:10-50,No,NLA07RVT,NLA07_RVT12,Include,278.9036241,OAKLAND,13173017,13173017,13173017,Lake/Pond: Hydrographic Category = Perennial,Included,284.65,Region_5,Bogie Lake,TargetSampleable,116,,PLNLOW,UMW,621685,Bogie Lake,4,4090005,NATURAL,NATURAL,42.61885968,-83.50544419,4,NonREF07,No,8,8.1,8.1.6,Bogie Lake,,,,Non Federal,Non-Federal,NLA07RVT,2.423465243,4.09E+12,T,Y,PROB,"(20,50]",Included,NonREF07,NLA07RVT,NLA12_MI-117,MI_NLA07RVT,184,"MI_(20,50]",2,MI,MI,100,26125,Target_Sampled,Target_Sampled,MI_NLA07RVT,Target,Target,Yes,56,56,56h,56h,278.9036241,MI_>4,2.235294118,1015849.477,640202.6718,UMW,,137.654,128.635,9.019
NLA06608-0012,NLA12_OK-121,1,6525,6/11/2012 0:00,PLNLOW,SPL,177.657303,E:100-500,No,NLA07RVT,NLA07_RVT12,Include,2.437808433,PAYNE,534289,493066,534289,Lake/Pond: Hydrographic Category = Perennial,Included,255.6,Region_6,Cushing Lake,TargetSampleable,144,,PLNLOW,SPL,1091898,Cushing Lake,11,11050003,MAN_MADE,RESERVOIR,35.99293158,-96.87367696,11,OK_LT500,Yes,9,9.4,9.4.2,Cushing Lake,,,,Non Federal,Non-Federal,NLA07RVT,13.50645224,1.11E+13,T,Y,PROB,>50,Included,OK_LT500,NLA07RVT,OK620900020120_00,OK_NLA07RVT_OKSF_LT500,15,OK_OK_LT500,1,OK,OK,100,40119,Target_Sampled,Target_Sampled,OK_NLA07RVT_OKSF_LT500,Target,Target,No,27,27,27o,27o,2.437808433,OK_>4,1,-78059.8642,-168481.4237,PLAINS,,12.7,8.369,4.331
NLA06608-0013,NLA12_NJ-104,1,7209,7/15/2012 0:00,PLNLOW,CPL,37.14026102,C:10-50,No,NLA07RVT,NLA07_RVT12,Include,303.1171952,BURLINGTON,4489294,4489294,4489294,Lake/Pond: Hydrographic Category = Perennial,Included,15.44,Region_2,Mirror Lake,TargetSampleable,118,,PLNLOW,CPL,878414,Mirror Lake,2,2040202,MAN_MADE,MAN_MADE,39.97091954,-74.5712097,2,NonREF07,No,8,8.5,8.5.4,Mirror Lake,,,,Non Federal,Non-Federal,NLA07RVT,8.284682952,2.04E+12,T,Y,PROB,"(20,50]",Not_NJ_SF,NonREF07,NLA07RVT,NLA12_NJ-104,NJ_NLA07RVT_Not_NJ_SF,0,,2,NJ,NJ,100,34005,Target_Sampled,,NJ_NLA07RVT,Target,,Yes,84,84,84b,84b,303.1171952,NJ_>4,2.5,1798761.56,480595.6204,CPL,,11.39,7.836,3.554
NLA06608-0016,NLA12_NE-109,1,1000084,7/20/2012 0:00,PLNLOW,SPL,641.0234072,F:500+,No,NLA07RVT,NLA07_RVT12,Include,17.17817457,LINCOLN,17432752,17432752,17432752,Lake/Pond: Hydrographic Category = Perennial,Included,916,Region_7,Lake Maloney,TargetSampleable,143,,PLNLOW,SPL,831017,Lake Maloney,10,10190018,MAN_MADE,RESERVOIR,41.03740677,-100.7757749,10,NonREF07,Yes,9,9.3,9.3.4,Lake Maloney,,,,Non Federal,Non-Federal,NLA07RVT,18.96802865,1.02E+13,S,Y,PROB,>50,,,,NLA12_NE-109,NE_NLA07RVT,0,,0,NE,NE,100,31111,Target_Sampled,,NE_NLA07RVT,Target,,Yes,44,44,44a,44a,17.17817457,NE_>4,2.285714286,-398131.429,406399.0858,PLAINS,,18.691,48.2,-29.509
NLA06608-0019,NLA12_ND-108,1,6645,6/18/2012 0:00,PLNLOW,NPL,103.3136406,E:100-500,No,NLA07RVT,NLA07_RVT12,Include,58.97169537,LOGAN,14665971,14665971,14665971,Lake/Pond: Hydrographic Category = Perennial,Included,600.25,Region_8,Doyles Lake,TargetSampleable,142,,PLNLOW,NPL,1034137,Doyles Lake,10,10130104,NATURAL,NATURAL,46.36670421,-99.50350622,10,NonREF07,Yes,9,9.3,9.3.1,Doyles Lake,,,,Non Federal,Non-Federal,NLA07RVT,7.965628584,1.01E+13,T,Y,PROB,>50,,,,NLA12_ND-108,ND_NLA07RVT,0,,0,ND,ND,100,38047,Target_Sampled,,ND_NLA07RVT,Target,,No,42,42,42b,42b,58.97169537,ND_>4,2.642857143,-270218.981,995736.011,PLAINS,,21.731,40.282,-18.551
NLA06608-0020,NLA12_IL-105,1,8556,9/13/2012 0:00,PLNLOW,TPL,296.1995854,E:100-500,No,NLA07RVT,NLA07_RVT12,Include,39.85661628,CLARK,10284202,10284202,10284202,Lake/Pond: Hydrographic Category = Perennial; Stage = Average Water Elevation,Included,184.92,Region_5,Mill Creek Lake,TargetSampleable,150,,PLNLOW,TPL,,,5,5120111,MAN_MADE,MAN_MADE,39.41011547,-87.80523888,05_06,REF07,Yes,8,8.3,8.3.2,,,,,Non Federal,Non-Federal,NLA07RVT,36.78984462,5.12E+12,R,Y,PROB,>50,,,,NLA12_IL-105,IL_NLA07RVT,0,,0,IL,IL,100,17023,Target_Sampled,,IL_NLA07RVT,Target,,No,72,72,72m,72m,39.85661628,IL_>4,2,698296.1759,244214.5228,PLAINS,,9.686,7.745,1.941
NLA06608-0023,NLA12_TX-112,1,7244,7/17/2012 0:00,PLNLOW,SPL,6.20716516,B:4-10,No,NLA07RVT,NLA07_RVT12,Include,838.6523308,BELL,2580363,2580363,2580363,Lake/Pond: Hydrographic Category = Perennial,Included,265.85,Region_6,Tank Wash Lake,TargetSampleable,140,,PLNLOW,SPL,1863189,Tank Wash Lake,12,12070202,MAN_MADE,MAN_MADE,31.14844072,-97.74526454,12_13,REF07,No,9,9.4,9.4.5,Tank Wash Lake,,,,DOD,Army DOD,NLA07RVT,0.974658146,1.21E+13,S,Y,PROB,"(4,10]",,,,NLA12_TX-112,TX_NLA07RVT,0,,0,TX,TX,100,48027,Target_Sampled,,TX_NLA07RVT,Target,,Yes,29,29,29e,29e,838.6523308,TX_>4,3,-165860.7106,-708286.5873,PLAINS,,1.919,4.133,-2.214
