SITE_ID,DEPTHMAX,2007 catchment data.PCT_BARREN_BSN,2007 catchment data.PCT_DEVELOPED_BSN,2007 catchment data.PCT_FOREST_BSN,2007 catchment data.PCT_SHRUBLAND_BSN,2007 catchment data.PCT_GRASS_BSN,catchment_Forestall,2007 catchment data.PCT_AGRIC_BSN,2007 catchment data.PCT_WETLAND_BSN,2007 buffer data.PCT_DEVELOPED_BUFR,2007 buffer data.PCT_BARREN_BUFR,2007 buffer data.PCT_FOREST_BUFR,2007 buffer data.PCT_SHRUBLAND_BUFR,2007 buffer data.PCT_GRASS_BUFR,buffer_forest_all,2007 buffer data.PCT_AGRIC_BUFR,2007 buffer data.PCT_WETLAND_BUFR,NUT_REG,Residence time,Catchment Area (km2),Lake Area (Km2),Relative Catchment Size,LON_DD,LAT_DD,ELEV_PT,Table1.CL_PPM
NLA06608-0001,8.3,19.1,0,41.9,7.5,0.1,49.5,0,0,0,2.6,35.1,10.8,0,45.9,0,0,II,0.77,3.757720078,0.662930555,5.66834648,-114.0218399,48.97902855,1605.73,0.05
NLA06608-0002,2.3,0,1,59.9,1.6,4.5,66,0.3,32.8,0,0,31.1,0.7,5.3,37.1,0,62.9,XIV,0.26,2.290436081,0.144379981,15.86394502,-79.98379054,33.03606404,4.9,6.311
NLA06608-0003,2.5,0.5,11.3,10.3,27.1,4.9,42.3,44.1,0.4,5.9,0,55.7,23.5,0,79.2,0,1,X,0.17,4.837379808,0.057017366,84.84046436,-97.85986605,28.04774206,17.6,173.337
NLA06608-0004,6.3,0,0.4,37,50.1,1.1,88.2,1.7,1.8,0,0,19.3,53,0.8,73.1,2.2,2.8,II,1.05,4.702661694,0.653863092,7.192119805,-108.4045832,37.41662013,2213,1.802
NLA06608-0005,6.1,0.6,0,46.6,11.6,33.6,91.8,0,2.2,0,0,35.8,12,7.2,55,0,12.5,II,0.48,87.07638265,0.194876125,446.8294033,-114.8403862,43.92920926,2138,0.262
NLA06608-0006,25.3,0,6,68.3,0.6,0,68.9,18.6,1.3,2.9,0,54,0.8,0,54.8,5.1,0,XIV,0.16,23.08342257,0.561997482,41.07388967,-73.1465177,41.68314624,198.75,7.318
NLA06608-0007,19.2,0,3.3,63.8,0.1,1,64.9,10.3,12.3,5.6,0,52.8,0,0.6,53.4,12.6,3.1,VII,5.82,9.127280415,0.254747633,35.8287153,-92.04001797,45.58064546,390.86,1.45
NLA06608-0008,5.5,0.1,7.2,34.6,0.2,7.5,42.3,41.8,0.9,6.2,0,50.4,0,2.5,52.9,1.9,4.8,VI,0.79,13.32280668,0.487370362,27.33610354,-93.59040488,41.29211104,261.56,10.129
NLA06608-0010,11.8,0,53.8,20.8,0,1.7,22.5,3.2,9.8,30.3,0,21,0,0,21,0.1,11,VII,1.69,2.93251514,0.300373324,9.762901382,-83.50588771,42.61823014,284.65,128.635
NLA06608-0012,3.5,0,4.9,13.4,0,61.1,74.5,17.8,0,7.6,0,24.7,0,21.8,46.5,2.6,0,V,0.07,83.21774471,1.776575126,46.8416694,-96.87178731,35.99078823,255.6,8.369
NLA06608-0013,2.3,4.3,18.7,46.3,0,0,46.3,10.9,18.9,38.5,0.1,16.9,0,0,16.9,1.5,33.8,XIV,0,93.76924728,0.371402558,252.473348,-74.56255123,39.97428032,15.44,7.836
NLA06608-0014,1.7,0,5,0,0,21.8,21.8,50.4,13.7,6.3,0,0,0,16.7,16.7,5.9,24.3,VI,0.93,7.066625128,0.128095286,55.16694133,-100.5756807,47.83492738,498.4,463.285
NLA06608-0015,7,1,1.6,29.8,44.7,18.8,93.3,2.3,1.3,6.9,0.1,0,36.5,0,36.5,12.5,0.5,III,0.21,68562.98157,1.739929805,39405.6021,-107.2747938,33.0071076,1275.36,53.344
NLA06608-0016,6.3,0.1,6.5,0.1,0,61.9,62,14.1,1.2,10.7,0,0.5,0,8.6,9.1,0.2,5.3,IV,1.58,42.28744418,6.410233086,6.596865295,-100.7797567,41.03025217,916,48.2
NLA06608-0019,1.2,0,3.1,0.1,1.3,52.7,54.1,28.9,1.6,2,0,0,0,50.5,50.5,1.9,1.5,V,0.19,91.69963217,1.033135279,88.75859148,-99.51185877,46.36688788,600.25,40.282
NLA06608-0020,14.9,0,4.5,24.9,0,0.7,25.6,64.5,0,1.6,0,56.8,0,2.5,59.3,8.6,0.1,VI,0.14,53.75406649,2.962001459,18.14788657,-87.81380832,39.40817838,184.92,7.745
NLA06608-0021,53,0.1,9,26.3,6.2,0.5,33,39.1,1.3,6.1,0,6.7,1.7,0.4,8.8,0.9,1,VII,2.88,241.6641707,42.26925272,5.717256756,-77.3095481,42.77191973,209.55,31.892
NLA06608-0023,3,0.3,74.1,4.7,7.9,2.3,14.9,0,1.3,20.2,1.7,14.8,24.4,10.2,49.4,0,6.8,IX,0.08,0.743655017,0.062072217,11.98048101,-97.745332,31.14849172,265.85,4.133
NLA06608-0024,12.9,0.1,10.9,23.3,8.9,0,32.2,39,12.4,7.3,0,11.5,2.8,0,14.3,2.3,6.7,IX,0.7,2170.026762,95.30145112,22.77013347,-95.48843409,32.1220497,105.13,19.446
NLA06608-0025,8,0,7.1,83.2,0.5,0.7,84.4,5.7,0.1,5.3,0,68.8,0,0.2,69,3.3,1.6,IX,0.42,6.838269982,0.114812351,59.56040376,-81.34573084,35.20132137,245.48,3.661
NLA06608-0029,1.7,0.5,10,20.7,0,0,20.7,62.7,3.1,20.1,0.3,21.4,0,0,21.4,23.1,15.5,XIV,0.06,18.7698932,0.731003742,25.67687704,-75.21503793,38.75601051,1.87,17.338
